AUDIENCE,BIAS,MESSAGE,DESIGNATION,SOURCE,TEXT
constituency,neutral,personal,Representative ,twitter,Thanks to @MayorNoak and #WillCounty Larry Walsh for joining me @LewisUniversity Airport for today's good news. http://t.co/txSt4JgJEl
national,neutral,support,Representative ,twitter,Thoughts &amp; prayers are w/ the families of the 3 innocent Israeli teens. Abbas must denounce terrorism &amp; bring those responsible to justice
national,partisan,policy,Senator ,twitter,"President Obama wanted 3 things on gun control -- ban assault weapons, limit magazine sizes, and expand background checks. He'll lose all 3."
national,neutral,support,Representative ,twitter,Happening now: Ways &amp; Means hearing w/ IRS Commissioner Koskinen. Tune in to http://t.co/u9cJET2oml to hear my question re: ACA tax concerns
national,neutral,personal,Representative ,twitter,Don't forget to cast your vote #FL17 Congressional Art Competition. Winner will hang in US Capitol https://t.co/hRHzBBGi8W #sayfie
national,neutral,media,Representative ,twitter,"Just about to join @seanhannity's radio show at about 4:05pm ET, listen live http://t.co/BwXaP3KjKV"
national,neutral,information,Senator ,twitter,Senate passes #VAWA reauthorization in vote of 78-22
national,neutral,information,Representative ,twitter,Attending the State of the Union. http://t.co/nKfjFwzz
national,partisan,policy,Representative ,twitter,"I'm on the House floor to manage the rule for the House GOP plan to keep govt open, stop #ObamaCare &amp; protect troops: http://t.co/7PlgqhX4g4"
national,neutral,personal,Senator ,twitter,Was an honor &amp; a privilege to visit &amp; thank @WYOguard troops stationed in #Bahrain this 4th of July weekend. http://t.co/rX1RdulMYx
national,partisan,personal,Senator ,twitter,Senate will be done but mess inHouse:Republican hardliners block strategy to avoid shutdown  @washingtonpost http://t.co/ARxkbe8bbk
national,neutral,policy,Representative ,twitter,ICYMI: I talked to @MyDesert about how Congress will have to work together to pass a strong #CIR bill in the House http://t.co/1syj2GeV4c
national,partisan,attack,Senator ,twitter,Parents want to know their kids are in a safe place w/ qualified providers. CCDBG is essential 4 #ChildCareProtection http://t.co/WXfvAgfe2L
constituency,partisan,constituency,Senator ,twitter,Should Utah be forced by the EPA to lower ozone levels below the naturally occurring level? http://t.co/ONGfKQxOKK @UtahPoliticoHub #utpol
national,neutral,information,Representative ,twitter,"""Landrieu still has only about a 1-in-3 chance of winning even when her incumbent status is included"" http://t.co/dTCGtHynv8 #LASEN"
national,neutral,media,Representative ,twitter,@MatthewWYMT &amp; @MichelleWYMT stopped by my office earlier to talk about #RxDrugAbuse. Watch @WYMT at 6PM. http://t.co/28tCNbGFCA
national,neutral,personal,Representative ,twitter,"So very sad to hear about the passing of Jim Ragsdale. He was a true professional &amp; a kind soul.  Jim, you will be missed greatly."
national,neutral,personal,Representative ,twitter,"""Balboa Park is the only place in USA with 28 major cultural institutions w/in 1 sq mile."" #arts cc:.@RepSusanDavis http://t.co/XGGrkDI9Iv"
national,neutral,other,Senator ,twitter,"PHOTO: Joined ""World's Most Interesting Man"" (from America's Most Interesting State) @ #landmines event on Cap. Hill http://t.co/6cVbofvNLu"
constituency,neutral,media,Representative ,twitter,"W/RI Cong delegation, Mayors, police, @tenygross &amp; families affected by guns to present unified voice on gun safety http://t.co/9e78ICsvOq"
constituency,neutral,support,Representative ,twitter,Congrats @Hanscom_AFB C-IED Team! Their work on detecting &amp; destroying IEDs earned the Theodore von Karman Award http://t.co/2wOiL3arPt
national,neutral,support,Representative ,twitter,Since 1970 our spending has grown 288% while the median income has grown only 24%-- a difference of 264%. http://t.co/G5q55bWI #tcot
national,neutral,personal,Senator ,twitter,Mandela. Chg. South Africa chg the world. Inspired hearts n minds of millions of us. Condolences to his family n south african people
national,neutral,personal,Representative ,twitter,"Got a mess of oysters and clams out on Sound this morning. These guys have a rendezvous with white wine, fresh garlic, shallots and pepper."
national,neutral,mobilization,Representative ,twitter,RT if you think America succeeds when #WomenSucceed http://t.co/uBQRhIKuvg
national,neutral,information,Representative ,twitter,Tips for staying warm should you be outside this week helping clean after recent storms via the Coal City Courant: http://t.co/j5hwgEkIdP
constituency,neutral,media,Representative ,twitter,RT @kevinscholla: My interview w/@RepDavid Schweikert on @SarahNETRadio! Huge meeting coming up w/constituents! http://t.co/Pf2edk5kxG â€_
constituency,neutral,personal,Representative ,twitter,"St. Robert Community Center, 114 JH Williamson Dr. In St. Robert (2 of 3)"
national,neutral,support,Representative ,twitter,Joining @RobbHanrahanCBS on Face the State on @CBS21NEWS around 11:30 this morning to talk about #Ebola. http://t.co/WCqg6KpPF5
national,neutral,personal,Representative ,twitter,"In the hustle and bustle of the holidays (and don't forget its also Iron Bowl week), I know its easy to get distracted."
national,neutral,personal,Representative ,twitter,"Great to see -- @johnerardi says, ""Ted Kremer will be @Reds' batboy tonight"" http://t.co/mmmBPMLauQ"
constituency,neutral,other,Representative ,twitter,Celebrating @USMC 239th bday at So. NV Marine Corps Ball - largest non-active duty ball in the world! Semper Fi! http://t.co/f8D9AoNFpL
national,partisan,policy,Representative ,twitter,Now is the Time to Balance the Budget http://t.co/AaOKH9gG
constituency,neutral,support,Senator ,twitter,Welcome to @SenateBanking @Sen_JoeManchin @elizabethforma @SenatorHeitkamp @TomCoburn &amp; @SenDeanHeller. Look fwd to working with all of you.
national,neutral,personal,Representative ,twitter,"April is Sexual Assault Awareness Month. According to @RAINN01, 60% of sexual assaults are not reported to police. #StandUp #SAAM"
national,neutral,support,Representative ,twitter,House GOP r focused on pro-growth bills #4jobs. Itâ€™s time #SenateDems act on these bills so ppl can get back 2 work http://t.co/DJSsQxyUrC
national,neutral,media,Representative ,twitter,.@kerrywashington Congrats on @ELLEmagazine cover! So excited for you! #girlpower
national,neutral,media,Senator ,twitter,#SFRC hearing today at 10:00 a.m. ET with Secretary Kerry. Watch live: http://t.co/Ay1KZ8x97x
national,partisan,policy,Representative ,twitter,For 3 mos. the IRS failed to tell Congress they couldn't provide Lerner emails. My speech abt need for accountability:http://t.co/spq6b3D5nW
constituency,neutral,information,Representative ,twitter,Been discussing Impact Aid &amp; military students in Mascoutah. 60% of students at Mascoutah are affiliated w/ @ScottAFB http://t.co/I2prVghIfL
constituency,partisan,support,Senator ,twitter,Thanks to the Pawnee County folks who turned out to the Town Hall meeting in Larned. These folks areâ€_ http://t.co/sqsEF5p5vL
national,partisan,attack,Representative ,twitter,.@theobserver editors agree the President's admin earned their reputation for obfuscation &amp; disregard for failures http://t.co/mpotP2fw1k
national,partisan,attack,Representative ,twitter,It's time the Obama Admin answer to the American people on #Benghazi. Four Americans were murdered and no one has been held accountable.
national,neutral,personal,Representative ,twitter,Rep. Wilson commemorates the third anniversary of the earthquake with a call to action: Remember #Haiti. http://t.co/05VbzrDW
national,partisan,policy,Representative ,twitter,"Vets groups, editorials, Democrats agree: more funding â‰  more #VAaccountability http://t.co/9i3lXJxzaC"
national,neutral,personal,Representative ,twitter,"Looking for Job? Help me, help residents looking for a job. Participate in our Roundtable on Unemployment. Call my Office at 202-408-9041."
constituency,neutral,personal,Representative ,twitter,Traveling 6th District! Spent Tues speaking to @fwhcc &amp; awarding Ryan Esplin the TDF Foundation Veterans Scholarship https://t.co/JYLQNqaMwJ
constituency,neutral,constituency,Representative ,twitter,Great crowd at the town hall tonight. Thanks to all those who came out and asked questions. http://t.co/ne0OdbFo8u
national,partisan,policy,Representative ,twitter,Almost one year since the Senate passed comprehensive immigration reform. The #TimeIsNow for the House to act! http://t.co/seSuk4jjwG
constituency,neutral,policy,Representative ,twitter,I am deeply concerned by and condemn the over 400 rocket attacks launched by Hamas against Israel. http://t.co/cUa9vEK9pq
national,partisan,policy,Representative ,twitter,"RT @UANI: The only vote that counts in the #iranelection today: that of the unelected ""Supreme Leader"" http://t.co/a3acacQqrh"
national,partisan,attack,Representative ,twitter,@ladybigmac @SpeakerBoehner @virginiafoxx @RepTomReed @KeithRothfus @RepKevinCramer Yep Obama uses fed agencies against political opponents
national,partisan,media,Representative ,twitter,"@gillespie_r6 let's not make the same mistake in the future by appreciating fully what happened. Yes, let's move forward, but facts matter."
national,neutral,support,Senator ,twitter,Congratulations to Sally Jewell for being officially sworn in as the new @Interior secretary: http://t.co/Zi07xEh0gd
constituency,neutral,support,Senator ,twitter,Our #MadeInWI economy is always cooking up something good! Check out @MadisonCollege's new culinary training center. http://t.co/19lRCCwwpp
national,partisan,policy,Representative ,twitter,"The faces of hunger are veterans, children, seniors, and the disabled. .@GOPLeader Don't cut #SNAP. #EndHungerNow http://t.co/ZVImYZi1Kc"
constituency,neutral,information,Representative ,twitter,#Delco County Council Chairman Tom McGarrigle has declared a #weather-related State of Emergency
national,neutral,support,Representative ,twitter,"Today, I held an Autism round table at Peaceful Living in New Britain. Great dialog between local groups in the... http://t.co/qpFmEVzMm3"
national,neutral,support,Representative ,twitter,Thanks @ONEcampaign for visiting my St. Paul staff &amp; for all the great work you do fighting global #poverty &amp; #hunger http://t.co/xCsocfoEwc
national,neutral,policy,Representative ,twitter,"#ProDDEnergy Here's the thing: Oil &amp; wind don't compete. Yet @Stabenow said this morning that ""wind needs to catch up."""
national,neutral,policy,Senator ,twitter,I'll continue working for strong bipartisan comprehensive #immigrationreform plan including #DREAMAct w support of groups like @CT4aDREAM
national,neutral,policy,Senator ,twitter,Need to find most effective ways to address this #addiction crisis so that people like the Griffins know where to go to get help
national,partisan,attack,Representative ,twitter,"The President must never be able to make unilateral decisions about enforcing some laws, but not others. http://t.co/cVaIt2em3X"
national,partisan,attack,Senator ,twitter,"President Obama missed this yearâ€™s legal deadline to submit a budget to Congress, just like he has nearly every year of his presidency."
national,partisan,policy,Representative ,twitter,".@DeltaDiva3 One idea is to allow students to pay the same rate on govt loans as big banks, which are currently about 0.75% #AskDems"
national,neutral,policy,Representative ,twitter,School shootings should not be our nation's norm.  http://t.co/VECoS6ErSB
national,neutral,support,Representative ,twitter,My stamement on the House passed appropriations bill: http://t.co/G7VhSaHfm6
national,neutral,information,Representative ,twitter,"Yesterday, I shared Janetâ€™s story on the House Floor. http://t.co/s1kYR2TZ9f"
national,neutral,personal,Representative ,twitter,@SenDanCoats Great movie!
national,neutral,personal,Representative ,twitter,Honored to spend time with employees at Boeing last night to celebrate their long history of service to our country. http://t.co/WDeQG0odmO
constituency,neutral,personal,Senator ,twitter,"Meeting with my friend Governor Perry this morning, who is in town to address CPAC"
constituency,neutral,media,Senator ,twitter,TUNE IN starting @ 9:30am CT for live video of USS North Dakota christening ceremony http://t.co/XynmDj6Jx5 or http://t.co/yEsSJbsVTf
national,neutral,personal,Senator ,twitter,"Today: Farmington, EHartford, Willimantic, Thompson, Hartford, Manchester."
constituency,neutral,personal,Representative ,twitter,"My sympathy and my prayers go out to the families of the victims, and the Quantico community."
national,neutral,personal,Representative ,twitter,We join together this month to commemorate Black History Month to honor the remarkable accomplishments and... http://t.co/sUEkAZ8crM
national,neutral,support,Senator ,twitter,"#RyanBudget hurts everyone in this country. When it comes to Medicare, it hurts seniors on the program now and seniors in the future."
national,neutral,support,Senator ,twitter,Always great to see Senator Richard Bryan. #HomeMeansNevada #BattleBorn http://t.co/KsBvjCADny
national,neutral,policy,Representative ,twitter,At the @AntiochPolice 47th neighborhood cleanup working to keep #Antioch &amp; #CA9 clean http://t.co/OxzGMnIcjl
constituency,neutral,information,Representative ,twitter,3 Arkansas counties have been designated as federal disaster areas. My statement: http://t.co/nUBElBgdft
national,partisan,policy,Representative ,twitter,ICYMI -  @USATODAY on legislation I introduced to improve research for Veterans struggling with Gulf War Illnesses http://t.co/STy3E46t8B
national,neutral,policy,Representative ,twitter,We're running out of time to renew the Highway Trust Fund. It's time to act: http://t.co/q4oDVjtPTE  http://t.co/YuI9XOFjOA
national,partisan,policy,Senator ,twitter,".@AtHomePundit CR isnt good policy bc we cant adjust spending levels, but its better than shutting down gov. We shld return to regular order"
national,partisan,policy,Representative ,twitter,"As Obama talked abt infrastructure projects, I heard a firsthand account of how delay of #Keystone negatively impacted business. #Time2Build"
national,neutral,support,Representative ,twitter,Enjoyed it! â€œ@AttyAbdul: Good chat with @RepLarryBucshon @93wibc. Up next @MayorBallardâ€ù
national,neutral,support,Representative ,twitter,"Letâ€™s thank our #Veterans 4 their service + sacrifice! Ceremony, parade + picnic Tue Nov 11 @ 11AM http://t.co/MqHLr1WzEY"
national,partisan,personal,Senator ,twitter,I hope Senate Dems will seriously consider this amdt &amp; will not throw our veterans &amp; unemployed under the bus. http://t.co/AfMklJ30LP
national,partisan,policy,Representative ,twitter,Admin reached deal w the man who bragged of advancing #nukes prgrm thru deception. I remain skeptical. #NKorea all over again.
national,partisan,attack,Representative ,twitter,Breaking the Silence on the IRS Outrage: http://t.co/bX27ADwu2O via @NewYorkObserver #IRStargeting
national,neutral,personal,Senator ,twitter,"Going to be talking w @GolfChannel about #MemorialTournament and my efforts for Congressional Gold Med for #GoldenBear, Jack Nicklaus"
national,neutral,personal,Representative ,twitter,RT @washingtonpost: A transcript of President Obama's speech http://t.co/D6i5rT1wpd #MarchonWashington #MOW50
national,neutral,information,Representative ,twitter,MT @YubaSutterArts Do you know a student who wants his/her #art displayed at the US Capitol? http://t.co/ReyUuvxuix
national,partisan,support,Senator ,twitter,@SenRandPaul deserves an answer from Obama Admin questions abt use of force on U.S. Citizens in U.S.(http://t.co/xb7RkjYWCu)
constituency,neutral,constituency,Senator ,twitter,Great to meet @horizonbeverage employees. So glad to have them working in NH http://t.co/Vmta6dwA6u
national,neutral,information,Representative ,twitter,Today the House voted in favor of the National Flood Insurance Fund. This protects over 1300 #Isaac claim payments from being delayed too.
national,partisan,policy,Representative ,twitter,"Apropiado q Maduro + Ortega juntos en #Nicaragua, ambos manipuladores d elecciones. #Venezuela + Nicaragua necesitan elecciones libres."
national,neutral,personal,Representative ,twitter,Have a great Labor Day weekend #Indy! Safe travels to you and your family.  I hope to see you out and about in the district.
national,neutral,personal,Senator ,twitter,@dwaynebenji Thank you so much Dwayne!!!!
national,neutral,information,Representative ,twitter,"RT @PerkasieBorough: Due to the extreme flooding, CALLOWHILL STREET from 3rd to Walkers Way is currently closed. http://t.co/6GDTkQbpEZ"
national,partisan,attack,Senator ,twitter,Senator Obama debates President Obama: http://t.co/00kQ8qQlaa via @wtcommunities
national,neutral,policy,Representative ,twitter,"It's Our Job to Pass Laws, Not Give Favors to Foreign Oil Corporations #Keystone
http://t.co/bnHVoNDFlZ"
national,neutral,policy,Representative ,twitter,At the 3rd Annual Foothills Homeless Veterans Stand Down. Thank you to the over 150 volunteers forâ€_ http://t.co/DRNI8n8e37
national,neutral,support,Senator ,twitter,"Thanks again to @AlGore for making the time to speak at #EEDayRI.  And ICYMI, here is the video of his speech: http://t.co/h5oGI3gj9a"
national,partisan,support,Representative ,twitter,Was glad to welcome Jason Smith to Congress and witness his swearing today. He is an outstanding leader who will represent MO-8 well.
national,neutral,personal,Representative ,twitter,@et_disclosure I got your message.
national,partisan,personal,Senator ,twitter,Great to be at @nnedv breakfast to support efforts to end domestic violence http://t.co/cPdvu76fY6
national,partisan,personal,Senator ,twitter,#tbt President FDR signed #SocialSecurity Act into law #OTD in 1935. Itâ€™s up to us to preserve &amp; protect it now. http://t.co/b2YYBXS3uG
national,neutral,personal,Representative ,twitter,My thoughts and prayers are with those affected by the recent storms in the U.S.!
national,neutral,information,Representative ,twitter,A #GOPshutdown will mean the @SBAgov will stop processing loans to American #SmallBusinesses. #EnoughAlready!
national,neutral,information,Representative ,twitter,"Live on @DennisDMZ today at 12:45p ET. Dennis out today, @ChristianDMZ guest hosts. Listen live: http://t.co/koyYMOD9Ky"
national,neutral,policy,Representative ,twitter,RT @ncfarmbureau: #FarmBill 2013 Voted out of Senate Ag Committee yesterday now House Ag Committee on schedule to vote their version tonight
constituency,neutral,other,Senator ,twitter,RT @J_Insider: Kosher restaurant caters to a new Newark | NJJN http://t.co/w6GNv6oYA7 @corybooker
national,neutral,media,Representative ,twitter,Ex-official claims Clinton allies scrubbed #Benghazi docs in secret sessions http://t.co/G7XYhDvM0G
national,neutral,other,Representative ,twitter,"Delaney Op-Ed in Washington Post: Debt Prioritization Not Rooted in Financial Reality, Bad for Nationâ€™s Standing
 http://t.co/BU7Lj9nbYC"
national,neutral,personal,Senator ,twitter,@living_rights Thanks so much for checking in. All is going well in this Vegan journey.
national,partisan,policy,Representative ,twitter,Headed to @WhiteHouse for the signing of bipartisan worker training bill to modernize our workforce development system #WIOA
national,partisan,policy,Representative ,twitter,Tune In: Sec. Kerry is testifying about #syria before the @HASCRepublicans. Watch - http://t.co/5ZzHknJco2
national,partisan,policy,Senator ,twitter,The GOP proposal sets no cap on interest rates &amp; could cost students thousands of extra dollars. #DontDoubleMyRate http://t.co/MiIqmRQ1Uj
national,partisan,media,Senator ,twitter,We are running late. Heading there now. The mayor VS me. RT @TheClimateHawk we showed up at the showdown.  Watch out for hole 6!
constituency,neutral,personal,Representative ,twitter,"Congrats to @SouthwestAir: 43 yrs ago, 1st flights out of @DallasLoveField. We LUV having you serve #TX27 via @CCIntAirport &amp; @AUStinAirport"
national,partisan,policy,Representative ,twitter,Via @CNN: â€œDemocratic senator asks Obama to delay #Obamacare deadlineâ€ù http://t.co/tvbzBSaU99 #FairnessForAll
